month,product_key,account_key,plan_units,plan_unit_cost,plan_amount,actual_units,actual_unit_cost,actual_amount,variance_amount,price_variance,volume_variance,driver,account_name,product_name
2026-11,PANEL-A,7000,950.0,220.51,209484.5,911.0,221.59,201868.81,-7615.690000000002,983.8800000000114,-8599.89,Material price,BOM Materials,SPAN Panel
2026-11,PANEL-A,7100,950.0,55.0,52250.0,911.0,57.2,52109.2,-140.8000000000029,2004.2000000000025,-2145.0,Manufacturing rate,Contract Manufacturing,SPAN Panel
2026-11,PANEL-A,7200,950.0,14.39,13668.41,911.0,14.17,12907.95,-760.4599999999991,-200.42000000000058,-561.21,Freight rate,Freight and Duties,SPAN Panel
2026-11,PANEL-A,7300,950.0,6.0,5700.0,911.0,6.6,6012.6,312.60000000000036,546.5999999999997,-234.0,Warranty and yield,Warranty Reserve,SPAN Panel
2026-11,PANEL-B,7000,400.0,260.76,104304.0,391.0,253.21,99004.31,-5299.690000000002,-2952.0499999999934,-2346.84,Material price,BOM Materials,SPAN Panel Pro
2026-11,PANEL-B,7100,400.0,62.0,24800.0,391.0,64.48,25211.68,411.6800000000003,969.6800000000015,-558.0,Manufacturing rate,Contract Manufacturing,SPAN Panel Pro
2026-11,PANEL-B,7200,400.0,16.44,6577.28,391.0,15.75,6157.82,-419.46000000000004,-269.7900000000005,-147.96,Freight rate,Freight and Duties,SPAN Panel Pro
2026-11,PANEL-B,7300,400.0,7.0,2800.0,391.0,7.7,3010.7,210.69999999999982,273.70000000000005,-63.0,Warranty and yield,Warranty Reserve,SPAN Panel Pro
2026-12,DRIVE,7000,290.0,297.33,86225.7,300.0,298.66,89598.78,3373.0800000000017,399.0000000000123,2973.2999999999997,Material price,BOM Materials,SPAN Drive
2026-12,DRIVE,7100,290.0,70.0,20300.0,300.0,70.0,21000.0,700.0,0.0,700.0,Manufacturing rate,Contract Manufacturing,SPAN Drive
2026-12,DRIVE,7200,290.0,19.18,5563.48,300.0,19.19,5757.49,194.01000000000022,3.000000000000469,191.8,Freight rate,Freight and Duties,SPAN Drive
2026-12,DRIVE,7300,290.0,8.0,2320.0,300.0,8.0,2400.0,80.0,0.0,80.0,Warranty and yield,Warranty Reserve,SPAN Drive
2026-12,EDGE,7000,73.0,178.53,13032.69,73.0,178.62,13039.08,6.389999999999418,6.570000000000249,0.0,Material price,BOM Materials,SPAN Edge
2026-12,EDGE,7100,73.0,48.0,3504.0,73.0,48.0,3504.0,0.0,0.0,0.0,Manufacturing rate,Contract Manufacturing,SPAN Edge
2026-12,EDGE,7200,73.0,12.79,933.64,73.0,12.98,947.59,13.950000000000045,13.870000000000093,0.0,Freight rate,Freight and Duties,SPAN Edge
2026-12,EDGE,7300,73.0,5.0,365.0,73.0,5.0,365.0,0.0,0.0,0.0,Warranty and yield,Warranty Reserve,SPAN Edge
2026-12,PANEL-A,7000,975.0,219.46,213973.5,974.0,220.88,215133.69,1160.1900000000023,1383.0799999999879,-219.46,Material price,BOM Materials,SPAN Panel
2026-12,PANEL-A,7100,975.0,55.0,53625.0,974.0,55.0,53570.0,-55.0,0.0,-55.0,Manufacturing rate,Contract Manufacturing,SPAN Panel
2026-12,PANEL-A,7200,975.0,14.92,14548.17,974.0,14.55,14172.58,-375.59000000000015,-360.37999999999926,-14.92,Freight rate,Freight and Duties,SPAN Panel
2026-12,PANEL-A,7300,975.0,6.0,5850.0,974.0,6.0,5844.0,-6.0,0.0,-6.0,Warranty and yield,Warranty Reserve,SPAN Panel
2026-12,PANEL-B,7000,415.0,258.04,107086.6,426.0,257.48,109685.93,2599.329999999987,-238.56000000000097,2838.44,Material price,BOM Materials,SPAN Panel Pro
2026-12,PANEL-B,7100,415.0,62.0,25730.0,426.0,62.0,26412.0,682.0,0.0,682.0,Manufacturing rate,Contract Manufacturing,SPAN Panel Pro
2026-12,PANEL-B,7200,415.0,17.05,7076.91,426.0,17.26,7352.04,275.1300000000001,89.46000000000036,187.55,Freight rate,Freight and Duties,SPAN Panel Pro
2026-12,PANEL-B,7300,415.0,7.0,2905.0,426.0,7.0,2982.0,77.0,0.0,77.0,Warranty and yield,Warranty Reserve,SPAN Panel Pro
